ID,Mã Tài Xế,Họ và Tên,Số Điện Thoại,Bằng Lái,Địa Bàn,Tuyến Chính,Trạng Thái,Biển Số Xe,Lương Cơ Bản,Đơn Giá Km,Số Chuyến Đăng Ký,Số Chuyến Hoàn Thành,Số Chuyến Đang Chạy,Tổng Km Đã Đi,Lương Chuyến Đi,Tổng Lương Thực Nhận
977,TX-7342-977,"Đặng Anh Dũng",0953141817,E-93038,"Hà Nội","Hà Nội ➔ Nha Trang",ON_TRIP,29B-109.77,5000000,2000,4,0,4,0,0,5000000
528,TX-3023-528,"Đặng Anh Dũng",0977847597,E-17715,"Bến xe Phan Thiết","TP. Hồ Chí Minh ➔ Phan Thiết",RESTING,51B-105.28,5000000,2000,1,0,1,0,0,5000000
115,TX-7621-115,"Đặng Anh Hải",0995442745,E-75354,"Bến xe phía Nam Nha Trang","Nha Trang ➔ TP. Hồ Chí Minh",ON_TRIP,79B-101.15,5000000,2000,0,0,0,0,0,5000000
62,TX-2106-62,"Đặng Anh Long",0958353687,E-36108,"Bến xe Trung tâm Cần Thơ","Cần Thơ ➔ Nha Trang",ON_TRIP,72B-100.62,5000000,2000,0,0,0,0,0,5000000
505,TX-0641-505,"Đặng Anh Phong",0950531965,E-83857,"Bến xe Liên tỉnh Đà Lạt","Hà Nội ➔ Đà Lạt",AVAILABLE,29B-105.05,5000000,2000,2,0,2,0,0,5000000
932,TX-2934-932,"Đặng Anh Quang",0923100787,E-50775,"Bến xe Trung tâm Cần Thơ","Cần Thơ ➔ Nha Trang",ON_TRIP,65B-109.32,5000000,2000,0,0,0,0,0,5000000
66,TX-2503-66,"Đặng Anh Sơn",0957130388,E-88526,"TP. Hồ Chí Minh","Vũng Tàu ➔ TP. Hồ Chí Minh",AVAILABLE,49B-100.66,5000000,2000,13,0,13,0,0,5000000
165,TX-3242-165,"Đặng Anh Trung",0921168505,E-70967,"Bến xe Mỹ Đình","Đà Lạt ➔ Hà Nội",AVAILABLE,43B-101.65,5000000,2000,2,0,2,0,0,5000000
640,TX-4040-640,"Đặng Anh Trung",0964077996,E-58868,"Bến xe Miền Đông mới","TP. Hồ Chí Minh ➔ Nha Trang",RESTING,51B-106.40,5000000,2000,1,1,0,430,860000,5860000
894,TX-9137-894,"Đặng Anh Trung",0937186028,E-19418,"Bến xe Vũng Tàu","Vũng Tàu ➔ Cần Thơ",AVAILABLE,72B-108.94,5000000,2000,0,0,0,0,0,5000000
